"subject" "activity" "tbodyaccmag.mean" "tbodyaccmag.std" "tgravityaccmag.mean" "tgravityaccmag.std" "tbodyaccjerkmag.mean" "tbodyaccjerkmag.std" "tbodygyromag.mean" "tbodygyromag.std" "tbodygyrojerkmag.mean" "tbodygyrojerkmag.std" "fbodyaccmag.mean" "fbodyaccmag.std" "fbodybodyaccjerkmag.mean" "fbodybodyaccjerkmag.std" "fbodybodygyromag.mean" "fbodybodygyromag.std" "fbodybodygyrojerkmag.mean" "fbodybodygyrojerkmag.std"
2 "WALKING" -0.129927630735849 -0.324970929245283 -0.129927630735849 -0.324970929245283 -0.466503446226415 -0.478991622075472 -0.126735589969811 -0.14861931805283 -0.59488286509434 -0.648553044339623 -0.352395944716981 -0.416260101509434 -0.44265216245283 -0.533059853773585 -0.325961457396226 -0.182985518264151 -0.634665082075472 -0.693930521509434
2 "WALKING_DOWNSTAIRS" -0.184014895 -0.333597432542373 -0.184014895 -0.333597432542373 -0.436901159491525 -0.439020591694915 -0.347321812220339 -0.408886653186441 -0.658861401355932 -0.718028040338983 -0.315866079491525 -0.447994369152542 -0.412920898474576 -0.48060920220339 -0.514211583728814 -0.445181802430508 -0.716877778644068 -0.740033436271186
2 "WALKING_UPSTAIRS" -0.107322679520833 -0.205977045295833 -0.107322679520833 -0.205977045295833 -0.321268911041667 -0.21738939458125 -0.219713472958333 -0.377532167604167 -0.572816438541667 -0.597291719166667 -0.14531853915625 -0.36672824375 -0.189511136902083 -0.2604238389625 -0.450612184791667 -0.438620401875 -0.60079849625 -0.621820202916667
2 NA -0.102740604827058 -0.257314985204875 -0.102740604827058 -0.257314985204875 -0.400838077046272 -0.394935030783874 -0.16553311469842 -0.337916689771653 -0.620310785923096 -0.677670481247974 -0.270464725023258 -0.367525176809562 -0.362909049258347 -0.44455949879919 -0.457913149747812 -0.377809109360292 -0.667309309011345 -0.716219449558347
3 "LAYING" 0.333754731458333 0.373611914166667 0.333754731458333 0.373611914166667 0.10384507225 0.209502174375 0.0142677821595833 -0.0426276750979167 -0.0829366854166667 -0.111228416159583 0.395958034583333 0.1446227570625 0.243834258785417 0.15480886140625 -0.0143735434 -0.242353857320833 -0.132705384364583 -0.145733545496458
3 "SITTING" -0.0491616726733333 -0.0819559041111111 -0.0491616726733333 -0.0819559041111111 -0.228851413747333 -0.216858921977778 -0.3466062928 -0.3805726254 -0.592843014888889 -0.637079543555556 -0.01907433524 -0.263644030288889 -0.175295286557778 -0.280426776955556 -0.429213369555556 -0.457674088 -0.621752455777778 -0.685470931777778
3 "STANDING" 0.211138853638298 0.205422375957447 0.211138853638298 0.205422375957447 -0.0637528559361702 -0.0292570509829787 -0.218029835319149 -0.360678305253192 -0.39719562106383 -0.450303212340426 0.155742168808511 0.0428533623276596 0.00918394264170213 -0.089735699787234 -0.349338414731915 -0.484141274255319 -0.453697247021277 -0.487128422553191
3 "WALKING" 0.0271882914106122 0.0198843506265306 0.0271882914106122 0.0198843506265306 -0.0894474807979592 -0.0257877197081633 -0.0757412543673469 -0.225724368061224 -0.295463843346939 -0.306510645530612 0.0965845343040816 -0.186530301073469 0.0262184949326531 -0.104052260726531 -0.185720285744898 -0.398350390122449 -0.281963359177551 -0.391919876612245
3 "WALKING_DOWNSTAIRS" -0.0628126118283674 -0.0411340078469388 -0.0628126118283674 -0.0411340078469388 -0.205239246653061 -0.0926324494530612 -0.215294501244898 -0.245794699346939 -0.508567577142857 -0.583919211020408 0.0289413195612245 -0.233849422120408 -0.049477977322449 -0.159102288018367 -0.332376629371429 -0.322440827020408 -0.576277199387755 -0.624910820612245
3 "WALKING_UPSTAIRS" 0.0899511204978723 0.215586334889362 0.0899511204978723 0.215586334889362 0.00565516335106383 0.22961718512766 -0.162188586930426 -0.274844110531915 -0.410872671489362 -0.343187875404255 0.293424826591489 -0.0214787881723404 0.222247409576596 0.227480732542553 -0.320838543553191 -0.372576755361702 -0.380175306489362 -0.343698985425532
3 NA 0.103607037526905 0.116674291862792 0.103607037526905 0.116674291862792 -0.120168928929938 -0.0175629323159946 -0.120816380045977 -0.250991618017681 -0.426506579051293 -0.450503080055932 0.13865926597554 -0.0727312170059322 -0.00611712565645852 -0.0426625192786707 -0.294543909820901 -0.35689379028488 -0.446247755390508 -0.49707745755397
4 "LAYING" -0.949543531272727 -0.931572655636364 -0.949543531272727 -0.931572655636364 -0.962733502 -0.948181827818182 -0.932703812181818 -0.921259472727273 -0.962929227818182 -0.950150571818182 -0.935750391272727 -0.939547202909091 -0.948348653636364 -0.947304700363636 -0.929725679272727 -0.929549141636364 -0.952034566 -0.951196693454545
4 "SITTING" -0.93569482 -0.9144078448 -0.93569482 -0.9144078448 -0.9701322836 -0.9625491104 -0.9260633138 -0.928898293 -0.9804904618 -0.9758066902 -0.929002095 -0.9198157096 -0.9625007338 -0.9615845194 -0.9487697524 -0.9288505544 -0.9765477634 -0.9762617538
4 "STANDING" -0.9379783225 -0.920939027727273 -0.9379783225 -0.920939027727273 -0.969320155681818 -0.965757731590909 -0.934301646590909 -0.931414810454545 -0.973848287045455 -0.970392610454546 -0.936290604545455 -0.925669291136364 -0.964440302272727 -0.966545323409091 -0.944760322045455 -0.934746865454545 -0.971598370227273 -0.970675403409091
4 "WALKING" -0.948536786170213 -0.927078418723404 -0.948536786170213 -0.927078418723404 -0.987364195531915 -0.984120024042553 -0.93089249 -0.934531840425532 -0.991976341276596 -0.988308728510638 -0.947782922553192 -0.928444801702128 -0.985262126808511 -0.981606177446808 -0.958435589361702 -0.932198374893617 -0.989797547234043 -0.987049617234043
4 "WALKING_DOWNSTAIRS" -0.895383350192308 -0.8703017 -0.895383350192308 -0.8703017 -0.969080752884615 -0.966550084230769 -0.919354372307692 -0.925518103807692 -0.977998051923077 -0.976772675961538 -0.904185725576923 -0.874626592115385 -0.965888891730769 -0.966568852884615 -0.946664943653846 -0.925449629 -0.977898105576923 -0.976689802692308
4 "WALKING_UPSTAIRS" -0.967893623913043 -0.953081444130435 -0.967893623913043 -0.953081444130435 -0.986774713043478 -0.984475868043478 -0.946035087173913 -0.961313624130435 -0.991081493913043 -0.989594919565217 -0.96127374826087 -0.955575602173913 -0.983874698913043 -0.984124185869565 -0.971840596086956 -0.961385745217391 -0.989861950869565 -0.989632908913043
4 NA -0.957826902987188 -0.94337879748766 -0.957826902987188 -0.94337879748766 -0.984158313614295 -0.981083579318948 -0.949792082717465 -0.954763215664194 -0.989588264484154 -0.98660674945381 -0.955858458476736 -0.945694518662171 -0.980856885879973 -0.980313732636548 -0.96725126303439 -0.954963131119353 -0.987253517370196 -0.986446527316251
5 "LAYING" -0.945022876491228 -0.939310249649123 -0.945022876491228 -0.939310249649123 -0.967102436140351 -0.956099145964912 -0.939404744385965 -0.915891572982456 -0.963406222982456 -0.952536233859649 -0.945949804035088 -0.94456410754386 -0.955914005438597 -0.95538157877193 -0.926664297017544 -0.923108761578947 -0.955425138245614 -0.952088499473684
5 "SITTING" -0.906478051785714 -0.890976683392857 -0.906478051785714 -0.890976683392857 -0.963370738392857 -0.958159482142857 -0.900982100535714 -0.885144317678571 -0.967614073928571 -0.964282784285714 -0.917614014821429 -0.895340042142857 -0.956139283571429 -0.96003249875 -0.914209165714286 -0.887194404285714 -0.964471139464286 -0.9664302175
5 "STANDING" -0.906104701071429 -0.87977380125 -0.906104701071429 -0.87977380125 -0.956863566071429 -0.942962047678571 -0.900671630714286 -0.867041711785714 -0.958405900892857 -0.947970723571429 -0.9046413925 -0.886745170714286 -0.941825903035714 -0.943601960178571 -0.904543921607143 -0.868913993928571 -0.952286438035714 -0.946196462857143
5 "WALKING" -0.984278207358491 -0.981942928867925 -0.984278207358491 -0.981942928867925 -0.992367790566038 -0.993096209433962 -0.976493792830189 -0.978690028679245 -0.994966790566038 -0.994733238679245 -0.985356361132075 -0.982313804716981 -0.99254247754717 -0.992536003396226 -0.984617623396226 -0.978466072075472 -0.994815376981132 -0.994671123207547
5 "WALKING_DOWNSTAIRS" -0.925430819016393 -0.915143303606557 -0.925430819016393 -0.915143303606557 -0.959303840327869 -0.948770043278689 -0.892089349344262 -0.88212522147541 -0.962339339672131 -0.957679766885246 -0.926968932295082 -0.921836076557377 -0.948627467704918 -0.94820681442623 -0.913682362622951 -0.883439718032787 -0.960331717868852 -0.957121510491803
5 "WALKING_UPSTAIRS" -0.965875181296296 -0.957874965 -0.965875181296296 -0.957874965 -0.980489077407407 -0.976675280185185 -0.963466341851852 -0.95394338037037 -0.983951904259259 -0.977204427777778 -0.964052166481482 -0.960519381481482 -0.977065295555556 -0.97516046 -0.961775904814815 -0.956788725740741 -0.977849827407407 -0.977754298148148
5 NA -0.957629198540472 -0.950797076776291 -0.957629198540472 -0.950797076776291 -0.978756888138942 -0.973473155398343 -0.94525508347355 -0.933183584251115 -0.980277911007011 -0.975306785328235 -0.95926790639898 -0.95356346100153 -0.973162935838113 -0.972889009681326 -0.951044171045252 -0.93398290067559 -0.976561937291268 -0.975232591472275
6 "LAYING" -0.918878850824561 -0.897326245964912 -0.918878850824561 -0.897326245964912 -0.954750504912281 -0.950341934385965 -0.908980174736842 -0.920914497017544 -0.955645738245614 -0.953157001578947 -0.91235165222807 -0.905373979824561 -0.948655471052632 -0.951552664035088 -0.930153639473684 -0.928694890175439 -0.953695957368421 -0.955504654561404
6 "SITTING" -0.954557603148148 -0.931292216611111 -0.954557603148148 -0.931292216611111 -0.970095771666667 -0.960786430740741 -0.930236462592593 -0.947031781666667 -0.985068502037037 -0.982698213703704 -0.939389701296296 -0.937187975962963 -0.96228712537037 -0.958037119259259 -0.961556660185185 -0.947100325185185 -0.983609073333333 -0.982543631666667
6 "STANDING" -0.966777882884615 -0.958612786346154 -0.966777882884615 -0.958612786346154 -0.980141253846154 -0.977477145384615 -0.946938300576923 -0.958287921923077 -0.9864194225 -0.98377138 -0.962234984038462 -0.962525369423077 -0.977356379807692 -0.976381934807692 -0.968257068846154 -0.959263063269231 -0.984618025769231 -0.983434493076923
6 "WALKING" -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.874759548 -0.81901016976 -0.96346103 -0.9358409828 -0.8617676481 -0.7983009404 -0.9333003608 -0.9218039756 -0.8621901854 -0.82431943968 -0.9423669466 -0.9326606676
6 "WALKING_DOWNSTAIRS" -0.972791346129032 -0.964218176451613 -0.972791346129032 -0.964218176451613 -0.979484593387097 -0.976121297903226 -0.951564751451613 -0.954275110967742 -0.98671362516129 -0.983139255645161 -0.96552427516129 -0.968350217419355 -0.975949597903226 -0.975305377903226 -0.96458672483871 -0.955441855806452 -0.984278251290323 -0.982568158064516
6 "WALKING_UPSTAIRS" -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.950011569583333 -0.961164053958333 -0.991767074166667 -0.989718095208333 -0.975110196458333 -0.975121387916667 -0.985374114791667 -0.984568489166667 -0.972112972708333 -0.96109837875 -0.990248702291667 -0.989492660416667
6 NA -0.941392990058606 -0.934359729373843 -0.941392990058606 -0.934359729373843 -0.98084458025293 -0.976438147051203 -0.940591333571869 -0.94312435694016 -0.983656464595928 -0.977795643466996 -0.949878018186305 -0.936738826783159 -0.976377652856262 -0.975512487532387 -0.957044770123381 -0.94443316101789 -0.978913649568168 -0.977727644361505
